City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
652,Nuevo Progreso,MX,88.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
666,Mazatlan,MX,81.45,clear sky,23.2167,-106.4167,Hotel Playamar
667,Bonthe,SL,79.38,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
670,Ukiah,US,78.04,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
672,Miranda,CO,84.65,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
674,Ternate,ID,80.58,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
677,Luganville,VU,78.44,clear sky,-15.5333,167.1667,The Espiritu Hotel
678,Galeana,MX,75.31,clear sky,24.8333,-100.0667,Mirador
684,Bellavista,PE,85.48,scattered clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
686,Arlit,NE,88.25,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
687,Kulhudhuffushi,MV,81.05,scattered clouds,6.6221,73.07,Haajy Guest House 1
691,Port Blair,IN,80.94,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
693,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
699,Ejido,VE,77.32,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
703,Sao Gabriel Da Cachoeira,BR,82.2,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
