City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Erzin,TR,36.9559,36.2,61.52,63,74,4.79,broken clouds
285,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,43,1,2.3,clear sky
286,Kenai,US,60.5544,-151.2583,33.1,90,90,16.11,light snow
287,Hohhot,CN,40.8106,111.6522,34.09,69,0,4.47,clear sky
288,Verkhoyansk,RU,67.5447,133.385,10.63,93,100,2.93,overcast clouds
289,Beloha,MG,-25.1667,45.05,64.53,59,17,10.85,few clouds
290,Ayan,RU,56.45,138.1667,37.49,62,98,3.85,overcast clouds
291,Ngunguru,NZ,-35.6167,174.5,57.16,91,15,7.25,few clouds
292,Zhangzhou,CN,24.5133,117.6556,73.15,80,78,2.04,light rain
293,Kahului,US,20.8947,-156.47,79.86,79,20,0.0,few clouds
294,Porosozero,RU,62.7191,32.727,35.35,92,100,9.95,overcast clouds
295,Souillac,MU,-20.5167,57.5167,75.36,83,20,10.36,few clouds
296,Yablonovo,RU,50.8523,37.3574,46.26,91,85,10.04,overcast clouds
297,Hwange,ZW,-18.3693,26.5019,84.33,33,85,2.77,overcast clouds
298,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,16.11,broken clouds
299,Fort Abbas,PK,29.1925,72.8536,77.0,25,1,3.13,clear sky
300,Ust-Nera,RU,64.5667,143.2,18.52,96,100,5.41,light snow
301,Touros,BR,-5.1989,-35.4608,86.9,60,87,17.72,overcast clouds
302,Bengkulu,ID,-3.8004,102.2655,77.4,85,100,2.37,overcast clouds
303,Egvekinot,RU,66.3167,-179.1667,-0.53,96,99,2.62,overcast clouds
304,Batagay,RU,67.6333,134.6333,14.34,91,100,3.22,overcast clouds
305,Garowe,SO,8.4054,48.4845,77.32,48,0,12.59,clear sky
306,Pontal Do Parana,BR,-25.6533,-48.5128,78.46,95,100,6.62,overcast clouds
307,Chissamba,AO,-12.1667,17.3333,65.21,86,100,3.85,light rain
308,Rorvik,NO,64.8621,11.2373,50.11,87,40,8.05,scattered clouds
309,Haines Junction,CA,60.7522,-137.5108,22.95,80,79,2.3,broken clouds
310,Tommot,RU,58.9564,126.2925,25.18,68,100,8.72,overcast clouds
311,Porto Novo,BJ,6.4965,2.6036,78.98,79,12,4.41,few clouds
312,Badarganj,BD,25.674,89.0549,70.43,75,0,4.65,clear sky
313,Chingirlau,KZ,51.095,54.0814,39.43,75,100,11.34,overcast clouds
314,Warri,NG,5.5167,5.75,77.47,89,100,4.21,overcast clouds
315,Kasungu,MW,-13.0333,33.4833,69.64,60,20,3.87,few clouds
316,Prince Rupert,CA,54.3161,-130.3201,44.29,81,34,2.3,light rain
317,Urengoy,RU,65.9667,78.3667,19.8,93,100,19.73,light snow
318,Sault Sainte Marie,CA,46.5168,-84.3333,55.89,66,1,11.5,clear sky
319,Caravelas,BR,-17.7125,-39.2481,79.23,58,5,9.33,clear sky
320,Margate,GB,51.3813,1.3862,59.31,80,57,5.01,broken clouds
321,Jijiga,ET,9.35,42.8,62.78,29,0,10.63,clear sky
322,Bongandanga,CD,1.5,21.05,72.55,98,69,2.55,broken clouds
323,Atar,MR,20.5169,-13.0499,80.65,47,100,9.22,overcast clouds
324,Toma,BF,12.7667,-2.8833,86.18,40,89,5.68,light rain
325,Kinshasa,CD,-4.3246,15.3215,84.58,65,20,2.3,few clouds
326,Kodiak,US,57.79,-152.4072,27.91,80,1,4.61,clear sky
327,Lata,PT,40.1629,-8.3327,65.05,67,100,5.17,overcast clouds
328,Barahona,DO,18.2085,-71.1008,87.62,62,20,16.11,few clouds
329,Jumla,NP,29.2747,82.1838,43.79,71,0,4.59,clear sky
330,Kirakira,SB,-10.4544,161.9205,80.74,83,66,6.67,broken clouds
331,Pailon,BO,-17.65,-62.75,98.28,24,35,9.62,scattered clouds
332,Payson,US,40.0444,-111.7321,58.51,61,90,3.44,overcast clouds
333,Vitim,RU,59.4511,112.5578,21.81,74,9,10.27,clear sky
334,Iracoubo,GF,5.4802,-53.2011,82.96,72,100,9.95,overcast clouds
335,Roald,NO,62.5833,6.1333,52.9,93,75,0.0,light rain
336,Marawi,PH,7.9986,124.2928,66.65,94,30,1.54,scattered clouds
337,Bajil,YE,15.0584,43.2851,86.58,45,2,1.54,clear sky
338,Espanola,US,35.9911,-106.0806,65.07,21,0,4.94,clear sky
339,Launceston,AU,-41.45,147.1667,51.44,90,90,8.01,shower rain
340,Faro,PT,37.0194,-7.9322,65.98,82,0,3.44,clear sky
341,Mirabad,AF,30.4362,61.8383,62.64,37,2,8.66,clear sky
342,Auki,SB,-8.7676,160.7034,77.67,86,13,3.76,few clouds
343,Matara,LK,5.9485,80.5353,76.5,92,100,5.41,overcast clouds
344,Fort Nelson,CA,58.8053,-122.7002,29.79,100,75,2.3,broken clouds
345,Williston,US,48.147,-103.618,54.91,48,0,4.0,clear sky
