City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Ishigaki,JP,2021-10-22 03:41:42,24.3448,124.1572,75.33,88,75,21.85
279,Roma,US,2021-10-22 03:41:09,43.2128,-75.4557,61.38,89,90,8.05
280,Muisne,EC,2021-10-22 03:41:43,0.6,-80.0333,75.06,88,100,8.75
281,Inhambane,MZ,2021-10-22 03:41:43,-23.865,35.3833,71.58,68,20,6.91
282,Vaitape,PF,2021-10-22 03:41:43,-16.5167,-151.75,79.74,72,2,7.99
283,Vanimo,PG,2021-10-22 03:41:44,-2.6741,141.3028,84.13,71,76,4.52
284,Sao Joao Da Barra,BR,2021-10-22 03:41:44,-21.6403,-41.0511,65.84,79,62,6.06
285,Nampula,MZ,2021-10-22 03:41:45,-15.1165,39.2666,64.35,88,20,3.44
286,Acapulco,MX,2021-10-22 03:39:55,16.8634,-99.8901,78.1,88,100,4.23
287,Muros,ES,2021-10-22 03:41:46,42.7762,-9.0603,57.83,95,9,5.28
288,Komnina,GR,2021-10-22 03:41:46,40.6,21.7833,45.27,82,15,2.71
289,Whitehorse,CA,2021-10-22 03:41:47,60.7161,-135.0538,38.01,80,90,5.99
290,Yaqui,MX,2021-10-22 03:41:48,27.3667,-110.1667,79.77,55,0,12.24
291,Zorritos,PE,2021-10-22 03:41:48,-3.6805,-80.6782,71.42,82,90,5.66
292,Panaba,MX,2021-10-22 03:41:49,21.2833,-88.2667,72.72,88,100,4.16
293,Lagoa,PT,2021-10-22 03:41:49,39.05,-27.9833,67.66,72,79,8.95
